"date","music","love","party","location","book"
"2016-09-28",2809760.29779086,4527146.24416084,1401437.89961792,"spain","no_book"
"2016-09-29",2728846.14856896,4835684.04876587,1395570.06176197,"spain","no_book"
"2016-09-30",2731413.76081025,4839032.35085987,1718691.23600869,"spain","no_book"
"2016-10-01",2968172.2398345,5463780.94075915,1798924.46022572,"spain","no_book"
"2016-10-02",2726393.24919472,5691495.39983092,1950964.31458885,"spain","no_book"
"2016-10-03",2501758.11154554,4290768.66035154,1872993.41406313,"spain","no_book"
"2016-10-04",2658859.41595935,4608753.10817487,1482779.85537031,"spain","no_book"
"2016-10-05",2424844.29492411,4524538.82132086,1245702.32225926,"spain","no_book"
"2016-10-06",2879156.68275759,4769090.87702976,1402162.80677761,"spain","no_book"
"2016-10-07",2815749.79838796,4999139.64308143,1559400.5884004,"spain","no_book"
"2016-10-08",2889479.25494464,6557269.77970348,1718990.77145188,"spain","no_book"
"2016-10-09",2807772.47823605,6329820.47307303,1564724.2935242,"spain","no_book"
"2016-10-10",2734257.38170921,4607419.01573066,1406246.76566006,"spain","no_book"
"2016-10-11",2886830.53618232,4606725.85040457,1484714.77655539,"spain","no_book"
"2016-10-12",2966605.09841656,5699491.52781579,1793093.46358769,"spain","no_book"
"2016-10-13",2890618.16305729,4616741.29839228,1406502.45554483,"spain","no_book"
"2016-10-14",3041136.88813632,5149818.32549178,1561708.1992596,"spain","no_book"
"2016-10-15",3665561.61954404,7259260.15118589,1878215.6593838,"spain","no_book"
"2016-10-16",2885920.13018591,6243834.67180654,1798668.14796469,"spain","no_book"
"2016-10-17",2657148.28599058,4530361.40053716,1489058.7505412,"spain","no_book"
"2016-10-18",2721943.11387769,4523722.10720249,1248001.82858749,"spain","no_book"
"2016-10-19",2498946.24892329,4760478.53286394,1480791.45816517,"spain","no_book"
"2016-10-20",2655405.54456165,4446226.26151037,1639174.40681,"spain","no_book"
"2016-10-21",2656134.65169642,5386613.35004764,1635971.80485875,"spain","no_book"
"2016-10-22",2959816.00203803,6094608.88354571,1878393.05750455,"spain","no_book"
"2016-10-23",2817106.83201256,5619753.87659019,1404630.9264284,"spain","no_book"
"2016-10-24",2346699.03851929,4449401.30292907,1409167.49279759,"spain","no_book"
"2016-10-25",2417211.82232255,4768476.72271829,1713312.34600059,"spain","no_book"
"2016-10-26",2503772.79645927,5227310.43250351,1797692.27271706,"spain","no_book"
"2016-10-27",2574413.8672207,5306131.55274456,1716765.3280546,"spain","no_book"
"2016-10-28",2731696.29779086,5385850.24416084,1791757.89961792,"spain","no_book"
"2016-10-29",2806910.14856896,6162772.04876587,1942018.06176197,"spain","no_book"
"2016-10-30",2731413.76081025,6009992.35085987,2030947.23600869,"spain","no_book"
"2016-10-31",2655916.2398345,5463780.94075915,2111180.46022572,"spain","no_book"
"2016-11-01",2726393.24919472,6784391.39983092,1638708.31458885,"spain","no_book"
"2016-11-02",2423694.11154554,5539792.66035154,1248481.41406313,"spain","no_book"
"2016-11-03",2814987.41595935,5077137.10817487,1170523.85537031,"spain","no_book"
"2016-11-04",2502908.29492411,5461306.82132086,1401830.32225926,"spain","no_book"
"2016-11-05",3113348.68275759,6174242.87702976,1558290.80677761,"spain","no_book"
"2016-11-06",2815749.79838796,5857843.64308143,1481336.5884004,"spain","no_book"
"2016-11-07",2421095.25494464,4995989.77970348,1250606.77145188,"spain","no_book"
"2016-11-08",2495516.47823605,5080796.47307303,1408596.2935242,"spain","no_book"
"2016-11-09",2265873.38170921,5231931.01573066,1406246.76566006,"spain","no_book"
"2016-11-10",2730702.53618232,5309301.85040457,1250522.77655539,"spain","no_book"
"2016-11-11",2888541.09841656,6480131.52781579,1636965.46358769,"spain","no_book"
"2016-11-12",2890618.16305729,6724469.29839228,1718758.45554483,"spain","no_book"
"2016-11-13",3119200.88813632,6008522.32549178,1483644.1992596,"spain","no_book"
"2016-11-14",2572665.61954404,5073468.15118589,1253703.6593838,"spain","no_book"
"2016-11-15",2651728.13018591,5072874.67180654,1330284.14796469,"spain","no_book"
"2016-11-16",2579084.28599058,4920681.40053716,1176802.7505412,"spain","no_book"
"2016-11-17",2721943.11387769,4992106.10720249,1326065.82858749,"spain","no_book"
"2016-11-18",3201522.24892329,5384990.53286394,1480791.45816517,"spain","no_book"
"2016-11-19",2811533.54456165,6007506.26151037,1795302.40681,"spain","no_book"
"2016-11-20",3280646.65169642,6323381.35004764,1479843.80485875,"spain","no_book"
"2016-11-21",3194008.00203803,5001712.88354571,1410009.05750455,"spain","no_book"
